ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
251450,200404,1458,107845.0
251455,200404,391,30020.0
251460,200404,495,33840.0
251465,200404,154,9885.0
251470,200404,354,22745.0
251480,200404,146,11155.0
251490,200404,690,46380.0
251500,200404,162,12805.0
251510,200404,790,58230.0
251520,200404,353,25700.0
251530,200404,1276,99805.0
251540,200404,895,69485.0
251550,200404,945,68160.0
251560,200404,404,29280.0
251570,200404,271,19820.0
251580,200404,695,51705.0
251590,200404,566,43100.0
251593,200404,382,26085.0
251597,200404,519,40055.0
251600,200404,2940,209635.0
251610,200404,1333,94095.0
251615,200404,271,20430.0
251620,200404,4124,276940.0
251630,200404,1180,86555.0
251640,200404,884,60240.0
251650,200404,1353,100365.0
251660,200404,1201,92735.0
251670,200404,547,43105.0
251675,200404,123,9595.0
251680,200404,692,48850.0
251690,200404,967,69005.0
251700,200404,537,41795.0
251710,200404,206,13475.0
251720,200404,218,16765.0
251740,200404,104,8080.0
250010,200405,585,47965.0
250020,200405,702,49030.0
250030,200405,2403,183775.0
250040,200405,1342,101600.0
250050,200405,1153,88160.0
250053,200405,406,31265.0
250057,200405,147,11065.0
250060,200405,142,11700.0
250070,200405,1281,82520.0
250073,200405,216,15075.0
250077,200405,416,29120.0
250080,200405,976,75035.0
250090,200405,1190,84570.0
250100,200405,1134,93400.0
250110,200405,1230,83665.0
250115,200405,266,19825.0
250120,200405,412,30570.0
250130,200405,686,55500.0
250135,200405,111,9125.0
250140,200405,70,5385.0
250150,200405,1125,91665.0
250153,200405,314,22015.0
250157,200405,642,48255.0
250160,200405,1465,109595.0
250170,200405,396,28330.0
250180,200405,1661,108165.0
250190,200405,537,39240.0
250200,200405,257,19325.0
250205,200405,204,15305.0
250210,200405,578,41635.0
250215,200405,273,21350.0
250220,200405,216,15560.0
250230,200405,426,30665.0
250240,200405,674,49725.0
250250,200405,1054,79685.0
250260,200405,787,55080.0
250270,200405,315,25015.0
250280,200405,829,59215.0
250290,200405,819,58140.0
250300,200405,389,32960.0
250310,200405,344,26965.0
250320,200405,1418,89395.0
250330,200405,565,42255.0
250340,200405,276,19580.0
250350,200405,1136,89670.0
250355,200405,792,60775.0
250360,200405,616,45755.0
250370,200405,3031,215005.0
250375,200405,315,22275.0
250380,200405,76,5645.0
250390,200405,622,44610.0
250400,200405,10503,786055.0
250403,200405,115,8995.0
250407,200405,306,22770.0
250410,200405,153,11885.0
250415,200405,730,53065.0
250420,200405,313,23635.0
250430,200405,1728,129370.0
250435,200405,431,31665.0
250440,200405,1078,73730.0
250450,200405,494,37985.0
250460,200405,1240,86265.0
250470,200405,532,38595.0
250480,200405,788,53990.0
250485,200405,138,9360.0
250490,200405,1127,85060.0
250500,200405,277,20735.0
250510,200405,1921,137025.0
250520,200405,447,33945.0
250523,200405,129,9170.0
250527,200405,350,27175.0
250530,200405,261,19495.0
250535,200405,469,35030.0
250540,200405,695,52695.0
250550,200405,367,25640.0
250560,200405,643,49620.0
250570,200405,849,66675.0
250580,200405,461,33530.0
250590,200405,335,24950.0
250600,200405,1642,125110.0
250610,200405,925,71040.0
250620,200405,233,16090.0
250625,200405,507,39250.0
250630,200405,3496,253620.0
250640,200405,653,49100.0
250650,200405,201,15335.0
250660,200405,515,38770.0
250670,200405,1382,102240.0
250680,200405,1336,100035.0
250690,200405,775,60115.0
250700,200405,1510,109420.0
250710,200405,1009,74180.0
250720,200405,833,65735.0
250730,200405,937,70350.0
250740,200405,500,39315.0
250750,200405,16181,1023710.0
250760,200405,509,39545.0
250770,200405,695,54405.0
250780,200405,759,52645.0
250790,200405,151,12300.0
250800,200405,1140,85150.0
250810,200405,349,25855.0
250820,200405,589,41115.0
250830,200405,1507,112290.0
250840,200405,167,12295.0
250850,200405,781,56820.0
250855,200405,300,23385.0
250860,200405,483,30900.0
250870,200405,471,32995.0
250880,200405,437,31365.0
250890,200405,1644,112460.0
250900,200405,1023,79825.0
250905,200405,227,17920.0
250910,200405,894,66155.0
250915,200405,452,33060.0
250920,200405,1137,86445.0
250930,200405,349,27865.0
250933,200405,433,32760.0
250937,200405,264,18395.0
250939,200405,357,27710.0
250940,200405,827,63030.0
250950,200405,463,34540.0
250960,200405,381,30405.0
250970,200405,2397,177400.0
250980,200405,772,54455.0
250990,200405,292,23085.0
251000,200405,614,45285.0
251010,200405,473,37380.0
251020,200405,624,48790.0
251030,200405,356,25805.0
251040,200405,1071,76170.0
251050,200405,355,26230.0
251060,200405,117,8655.0
251065,200405,166,12215.0
251070,200405,356,24030.0
251080,200405,5066,366930.0
251090,200405,1145,78650.0
251100,200405,441,33080.0
251110,200405,500,37450.0
251120,200405,283,22250.0
251130,200405,1469,104085.0
